-----------------------------generation: 0---------------------------------
the number of towers: 70
------------------------------------------------------------------------------
x of tower		y of tower		BW of tower
12.461855983437415	5.7470505567787376	716
10.829682604436096	15.55550916097424	9671
0.4850946334079863	12.356577211755802	8735
11.87800523149441	6.4240360440053585	8239
8.895818317269415	4.404850681502429	2773
6.549197919990427	6.856886068325801	8348
10.705134101265678	11.545087929124469	8082
8.681134835560435	18.11802750822342	2050
6.123508174831418	3.167740603200507	447
1.1851493653122436	10.18781337975862	7108
0.2449185395031952	15.157286933398654	3074
10.52566350775702	13.355396343482706	2218
15.016848983817383	12.57138562778562	6769
3.006445525294242	15.231922770574238	7238
3.0176324340352068	17.62729345161946	2484
15.28874068285701	3.4189951519307042	1486
3.650071413187101	4.329115985886156	7064
1.692324118477126	2.238516099962278	8179
13.111725335864454	7.794611632785548	6553
1.8164508915726936	5.2004318225751005	9128
3.0119996610162714	3.8707268933714913	1605
17.688539374257136	1.6416282745045678	7869
0.21212058645449927	15.413988660429165	8838
8.61100633171241	6.20798725023196	7824
14.353031578912631	14.63135872985931	2910
18.478428535958205	18.878623391440875	1823
4.445558429574703	10.621991854192702	4394
1.1296427771372266	8.667020051657447	7495
18.94248133332551	0.005318776837307859	8140
6.438829092002872	16.467422386831547	8081
10.358979649870161	13.548209532083513	4537
18.899916622906908	13.724914835760925	3517
5.754200914037131	12.23688176056749	2156
14.60859461491918	8.075026332527651	9014
12.669839922129825	14.720906218309372	2857
11.498531731518213	13.390596455011389	4743
17.82357622977623	11.01744214455448	3421
18.35568317109564	18.870302404322743	779
18.751374842840956	1.1917531356268323	7745
9.5389345874401	13.888210175642005	6694
15.290533585655597	2.5027394132110268	5509
2.235571963288166	8.681779407210364	5851
8.53597637775485	13.154352943390375	9363
16.893797401225655	18.407233249796597	6893
13.1759146955643	10.693048035964607	7203
2.8206557930415226	14.250413763297274	1646
3.5195930889473193	1.5361231159183655	5906
5.9568976757726455	7.624487898845428	1465
12.85584960847547	10.348220573736999	8428
18.342018468869288	10.97374756995704	1163
15.627543777055541	15.856958648757702	8400
16.565919841132093	15.823050455207802	5062
1.413576958698617	10.358846036829387	9182
9.986983529394836	3.279362658708929	4132
9.649814784164807	9.661712041761005	8106
18.480024014622803	10.124637874281627	442
13.805197293641553	12.182055895227398	1371
2.431593495296185	11.427661794032307	3279
16.493749427766843	12.4102971603597	3208
12.473789188650642	15.198669357344205	6235
11.036576727833065	11.26252494943613	8668
5.595975607874712	10.967896594051288	2858
9.145769985128114	9.004544686602824	6305
17.492400700224962	4.45246075013514	2322
10.853702751009022	11.59566756460237	3040
6.371905293728938	11.317429110695766	9474
10.919580463921779	4.786391241002033	9390
14.910691009460264	10.698406141995642	3426
9.968516382738635	3.7213537793593785	8046
2.8722720295248134	11.630959905751793	1577
------------------------------------------------------------------------------
x of block	y of block	x of assigned tower		y of assigned tower
0		0		8.681134835560435	18.11802750822342
0		1		18.94248133332551	0.005318776837307859
0		2		5.595975607874712	10.967896594051288
0		3		3.006445525294242	15.231922770574238
0		4		1.1296427771372266	8.667020051657447
0		5		18.94248133332551	0.005318776837307859
0		6		14.353031578912631	14.63135872985931
0		7		3.650071413187101	4.329115985886156
0		8		18.751374842840956	1.1917531356268323
0		9		0.4850946334079863	12.356577211755802
0		10		18.342018468869288	10.97374756995704
0		11		8.895818317269415	4.404850681502429
0		12		18.480024014622803	10.124637874281627
0		13		10.919580463921779	4.786391241002033
0		14		2.8722720295248134	11.630959905751793
0		15		17.492400700224962	4.45246075013514
0		16		13.1759146955643	10.693048035964607
0		17		2.431593495296185	11.427661794032307
0		18		5.595975607874712	10.967896594051288
0		19		0.21212058645449927	15.413988660429165
1		0		18.342018468869288	10.97374756995704
1		1		1.8164508915726936	5.2004318225751005
1		2		10.52566350775702	13.355396343482706
1		3		10.705134101265678	11.545087929124469
1		4		16.893797401225655	18.407233249796597
1		5		1.1296427771372266	8.667020051657447
1		6		14.353031578912631	14.63135872985931
1		7		18.35568317109564	18.870302404322743
1		8		6.371905293728938	11.317429110695766
1		9		18.478428535958205	18.878623391440875
1		10		18.478428535958205	18.878623391440875
1		11		9.986983529394836	3.279362658708929
1		12		1.8164508915726936	5.2004318225751005
1		13		2.8722720295248134	11.630959905751793
1		14		2.8206557930415226	14.250413763297274
1		15		5.595975607874712	10.967896594051288
1		16		1.692324118477126	2.238516099962278
1		17		10.919580463921779	4.786391241002033
1		18		3.5195930889473193	1.5361231159183655
1		19		10.52566350775702	13.355396343482706
2		0		5.595975607874712	10.967896594051288
2		1		14.353031578912631	14.63135872985931
2		2		17.492400700224962	4.45246075013514
2		3		2.431593495296185	11.427661794032307
2		4		1.692324118477126	2.238516099962278
2		5		18.342018468869288	10.97374756995704
2		6		2.431593495296185	11.427661794032307
2		7		0.2449185395031952	15.157286933398654
2		8		3.650071413187101	4.329115985886156
2		9		6.438829092002872	16.467422386831547
2		10		12.85584960847547	10.348220573736999
2		11		6.438829092002872	16.467422386831547
2		12		12.461855983437415	5.7470505567787376
2		13		16.565919841132093	15.823050455207802
2		14		16.493749427766843	12.4102971603597
2		15		18.751374842840956	1.1917531356268323
2		16		5.9568976757726455	7.624487898845428
2		17		1.1851493653122436	10.18781337975862
2		18		12.85584960847547	10.348220573736999
2		19		14.60859461491918	8.075026332527651
3		0		0.21212058645449927	15.413988660429165
3		1		3.0176324340352068	17.62729345161946
3		2		6.549197919990427	6.856886068325801
3		3		17.82357622977623	11.01744214455448
3		4		10.705134101265678	11.545087929124469
3		5		3.650071413187101	4.329115985886156
3		6		18.35568317109564	18.870302404322743
3		7		2.235571963288166	8.681779407210364
3		8		18.35568317109564	18.870302404322743
3		9		14.353031578912631	14.63135872985931
3		10		18.94248133332551	0.005318776837307859
