4.759, 4.797
6.453, 14.853
10.187, 8.874
6.757, 15.734
7.766, 11.86
18.147, 12.431
19.567, 17.41
9.141, 5.261
13.327, 3.742
16.671, 9.989
2.493, 1.739
5.724, 12.284
5.076, 0.737
5.345, 2.045
11.877, 7.643
16.029, 9.931
15.292, 10.707
14.276, 11.051
1.703, 8.784
9.374, 6.867
8.136, 0.444
2.536, 0.641
1.183, 4.679
3.265, 19.125
10.138, 18.875
13.013, 17.498
10.969, 6.549
19.213, 13.305
19.807, 16.278
4.426, 8.718
5.357, 18.313
0.189, 9.814
9.915, 13.15
2.682, 1.452
15.806, 14.103
11.616, 1.27
17.498, 5.903
0.586, 7.571
6.008, 9.609
7.853, 5.393
18.57, 11.934
17.12, 14.846
2.431, 13.634
4.847, 16.63
2.767, 0.319
4.659, 19.824
6.683, 10.627
8.326, 11.992
6.374, 10.272
